,CARD,DECK,BALLOT,S204.Q1,S204.Q2,S204.Q3,S204.Q4,S204.Q5,S204.Q6,S204.Q7,S204.Q8,S204.Q9,S204.Q10,S204.Q11,S204.Q12.n,S204.Q13,S204.Q14,S204.Q15,S204.Q16,S204.Q17,S204.Q18,S204.Q19,S204.Q20,S204.Q21,S204.Q22,S204.Q23,S204.Q24,S204.Q25,S204.Q26
62,1.0,204.0,63.0,5.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0
63,1.0,204.0,64.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,5.0,2.0,2.0,3.0,,2.0,2.0,3.0,2.0,2.0,3.0,5.0,10.0,3.0,1.0,3.0,3.0,1.0,1.0
64,1.0,204.0,65.0,5.0,1.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,,2.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0
65,1.0,204.0,66.0,5.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,0.0,,2.0,2.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0
66,1.0,204.0,67.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0
67,1.0,204.0,68.0,5.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,2.0,1.0,,2.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0
68,1.0,204.0,69.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0,,2.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0
69,1.0,204.0,70.0,6.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,,2.0,2.0,2.0,2.0,4.0,3.0,5.0,10.0,2.0,2.0,1.0,2.0,3.0,2.0
70,1.0,204.0,71.0,7.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,2.0,,2.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0
71,1.0,204.0,72.0,7.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,1.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0
72,1.0,204.0,73.0,7.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,1.0,2.0,4.0,,2.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0
73,1.0,204.0,74.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,4.0,,2.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0
74,1.0,204.0,75.0,8.0,1.0,3.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,2.0,,2.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
75,1.0,204.0,76.0,5.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,1.0,2.0,1.0,,1.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0
76,1.0,204.0,77.0,5.0,1.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
77,1.0,204.0,78.0,5.0,1.0,3.0,1.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,,1.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
78,1.0,204.0,79.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
79,1.0,204.0,80.0,6.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,1.0,2.0,3.0,,1.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0
80,1.0,204.0,81.0,6.0,1.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,2.0,4.0,,1.0,1.0,2.0,2.0,4.0,3.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0
81,1.0,204.0,82.0,6.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,0.0,,1.0,0.0,0.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0
82,1.0,204.0,83.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0
83,1.0,204.0,84.0,3.0,1.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,0.0,,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0
84,1.0,204.0,85.0,5.0,1.0,4.0,4.0,5.0,2.0,4.0,5.0,1.0,2.0,4.0,,2.0,2.0,3.0,2.0,2.0,1.0,6.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0
85,1.0,204.0,86.0,6.0,1.0,3.0,1.0,5.0,2.0,5.0,5.0,2.0,2.0,4.0,,2.0,2.0,2.0,3.0,1.0,3.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
86,1.0,204.0,87.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,0.0,,2.0,1.0,2.0,3.0,2.0,1.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0
87,1.0,204.0,88.0,7.0,1.0,3.0,1.0,5.0,2.0,5.0,5.0,1.0,2.0,3.0,,2.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
88,1.0,204.0,89.0,4.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0
89,1.0,204.0,90.0,6.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,2.0,1.0,5.0,,1.0,2.0,1.0,1.0,2.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
90,1.0,204.0,91.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,5.0,2.0,2.0,3.0,,2.0,2.0,1.0,1.0,4.0,2.0,7.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0
