COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88
1,142,218,4,11,11,9,1,50,13,11,50,1,3,3,3,1,2,4,1,4,4,3,2,2,3,2,0,7,28,2,7,28,4,12,4,1,2,2,1,2,4,4,4,4,2,2,3,4,3,4,2,3,4,4,1,2,142,218,3,1,1,2,1,4,1,6,6,2,2,3,4,3,1,1,1,1,2,2,3,1,2,3,2,28,15,3,34
1,142,219,3,11,11,6,2,55,15,11,55,1,2,3,1,1,2,4,4,4,4,3,2,2,3,2,2,6,25,3,9,35,5,20,4,2,2,3,1,1,4,3,4,3,4,2,3,3,2,4,3,3,3,0,1,2,142,219,1,1,2,2,2,4,1,6,6,1,1,2,6,1,2,1,1,1,3,4,3,1,2,3,2,35,20,3,35
1,142,220,4,11,11,4,1,55,16,11,55,1,1,2,2,1,1,4,5,5,4,4,2,2,4,1,1,7,30,2,5,17,2,8,4,2,2,2,2,3,3,2,2,4,2,2,2,4,2,4,2,2,3,4,2,2,142,220,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,3,5,1,2,3,11,31,20,4,19
1,142,221,2,11,11,9,1,50,15,11,50,1,1,3,3,1,2,4,4,6,4,3,2,2,3,2,1,4,16,2,5,18,2,8,4,1,2,2,5,4,2,3,4,4,3,2,4,4,2,4,1,4,4,4,1,2,142,221,2,1,0,0,1,3,2,6,6,1,1,0,6,3,1,1,1,1,2,4,2,4,2,3,3,21,15,8,51
1,142,222,4,11,11,9,1,57,17,1,57,2,1,2,2,2,2,4,6,6,4,3,2,2,4,2,2,7,25,7,5,23,2,13,4,1,3,2,2,2,4,2,3,4,2,2,2,4,1,3,2,2,3,4,2,2,142,222,1,2,1,3,2,3,1,6,6,1,1,2,5,1,2,1,2,1,1,4,4,4,2,3,0,23,13,8,60
1,142,223,3,11,8,5,1,50,12,1,50,1,1,2,3,1,2,3,5,6,4,4,2,2,6,1,2,5,18,2,3,11,1,4,4,1,2,2,4,3,4,3,4,4,2,2,2,3,2,3,2,3,4,4,1,2,142,223,3,1,1,3,1,3,2,6,6,1,2,2,7,3,1,1,2,1,1,3,2,2,2,3,11,15,10,8,99
1,142,224,4,11,11,9,1,50,12,5,50,4,1,2,2,1,1,6,3,5,6,3,3,3,1,1,1,6,20,2,8,25,3,14,4,1,3,4,3,1,2,2,3,2,2,2,1,1,2,2,3,2,4,4,1,2,142,224,2,9,3,3,2,3,1,1,6,1,1,2,3,1,3,1,3,1,5,4,2,1,2,3,2,25,14,6,11
1,142,225,4,11,11,5,1,50,15,1,50,1,1,3,3,1,1,6,2,5,6,4,1,3,3,2,2,6,24,3,4,16,1,5,2,1,2,2,2,3,2,2,3,3,3,2,2,3,3,3,2,2,3,4,0,2,142,225,2,1,2,2,1,4,1,1,6,1,1,2,4,1,2,1,1,3,1,4,3,1,2,3,0,25,15,6,13
1,142,226,4,11,11,7,1,50,12,11,50,1,1,3,1,2,1,6,3,6,3,4,3,3,1,2,2,9,40,3,6,25,3,15,4,1,2,2,2,3,4,2,4,4,3,3,3,3,2,3,3,3,4,4,0,2,142,226,3,2,1,1,1,2,1,6,6,1,2,1,6,3,1,1,3,1,1,4,2,1,2,3,2,28,15,6,14
1,142,227,4,11,11,6,1,55,12,1,55,1,1,2,2,1,1,6,6,6,6,4,3,3,1,2,1,8,30,3,6,24,3,12,4,1,2,2,4,2,2,2,2,3,1,2,2,2,2,4,2,2,2,2,2,2,142,227,3,3,2,3,1,4,1,6,6,2,3,2,4,3,2,2,1,3,4,2,4,1,2,3,2,25,12,6,15
1,142,228,4,11,11,7,1,50,11,1,12,1,1,2,2,1,2,5,3,5,4,3,3,3,1,1,1,6,35,3,5,25,2,9,4,1,2,2,4,3,1,1,1,4,2,2,1,1,1,2,1,4,4,2,1,2,142,228,4,1,1,2,1,4,1,1,6,1,1,2,4,2,2,1,3,1,2,2,2,1,2,3,2,35,18,6,32
