CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.8.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.57.,Q.58.,Q.59.,V.62.,V.63.,V.64.,V.65.,V.66.,V.67.
1,196,66,2,5,3,1,1,2,2,1,2,3,3,1,3,1,10,2,1,1,2,1,5,2,2,1,1,1,2,2,1,2,4,4,2,2,2,2,3,1,3,3,2,2,2,4,1,2,1,1,3,1,3,2,2,3,6,69
1,196,67,2,5,4,1,3,3,2,1,1,1,1,1,3,1,3,1,3,1,3,1,6,1,2,2,3,2,4,2,2,1,6,6,2,2,3,2,3,2,3,3,1,3,1,5,3,1,2,1,4,2,3,2,2,3,8,11
1,196,68,2,5,3,3,2,4,2,2,2,2,4,3,4,4,10,4,2,2,5,1,8,2,2,1,1,2,3,1,1,1,4,4,1,2,4,3,3,2,3,3,4,4,3,3,1,1,1,1,3,1,3,2,2,3,4,3
1,196,69,1,5,5,2,1,3,2,1,1,4,4,3,4,4,10,3,3,3,4,2,1,2,3,1,3,2,3,2,2,3,1,11,1,2,4,3,3,2,2,3,3,5,4,5,1,1,1,1,2,1,3,2,2,3,3,4
1,196,70,1,5,1,3,2,4,2,1,1,2,3,2,4,4,1,4,2,4,4,2,2,2,2,1,3,2,3,1,1,2,4,1,1,2,2,4,3,2,2,3,3,5,4,4,1,1,1,2,3,1,3,2,2,3,7,57
1,196,71,3,2,3,3,2,2,1,2,2,2,2,1,4,2,0,3,2,1,1,1,8,2,1,2,1,1,2,2,2,1,4,10,1,2,3,3,2,1,3,3,1,1,2,2,2,2,2,2,4,1,3,1,2,3,8,15
1,196,72,3,2,2,2,1,2,1,2,2,4,0,2,4,4,10,4,3,1,1,1,9,2,1,2,2,1,5,2,2,1,4,3,2,2,2,2,2,0,3,3,1,3,1,4,2,1,2,1,2,1,3,1,2,3,4,7
1,196,73,2,3,2,3,3,3,1,1,2,2,3,3,4,2,10,3,2,2,3,2,5,2,1,2,1,1,2,1,1,2,4,2,1,2,2,2,2,2,3,3,2,3,2,3,2,1,2,2,2,1,3,1,2,3,9,22
1,196,74,2,3,4,3,2,3,1,2,2,3,4,2,4,2,10,2,2,2,4,1,5,2,1,2,1,2,3,2,2,1,4,4,1,2,2,2,2,1,3,3,2,2,3,5,1,2,1,1,2,2,3,1,2,3,8,70
1,196,75,2,3,3,1,2,2,1,2,2,2,3,2,2,2,2,2,1,2,2,1,7,2,1,3,2,1,2,2,2,1,4,4,2,2,3,3,2,2,3,3,2,3,2,4,1,2,2,1,2,1,3,1,2,3,8,60
1,196,76,3,3,4,3,2,2,2,2,2,4,4,4,4,4,10,4,4,2,5,1,9,2,1,1,1,0,4,2,2,1,4,2,1,2,4,3,2,2,3,3,2,3,1,5,2,2,1,1,4,1,3,1,2,3,8,54
1,196,77,2,3,3,1,2,4,1,2,2,4,4,2,2,3,2,4,2,3,4,2,6,2,1,2,1,1,2,2,2,1,3,10,1,2,1,2,3,2,3,2,2,5,1,2,1,2,1,1,4,1,3,2,2,3,6,44
1,196,78,1,2,3,3,2,3,2,1,1,4,2,4,3,4,10,3,3,2,2,1,5,2,1,3,2,1,2,2,3,2,6,2,1,2,2,1,3,2,3,3,2,5,1,3,1,2,1,2,1,1,3,2,2,3,4,11
1,196,79,1,2,3,3,1,2,2,2,2,2,0,2,4,4,10,2,3,2,3,1,6,2,1,2,2,1,2,2,1,3,4,0,2,2,2,2,3,2,3,3,2,4,3,4,2,2,1,2,1,1,3,2,2,3,4,41
1,196,80,1,2,3,1,3,2,2,2,2,4,2,2,4,4,10,4,4,4,5,1,8,3,1,1,3,1,1,2,2,2,4,0,1,2,2,0,3,1,3,2,4,4,1,4,1,1,1,1,2,1,3,2,2,3,5,5
1,196,81,1,2,3,1,1,1,1,2,2,2,2,3,3,4,10,2,1,3,5,1,4,2,1,2,2,2,5,1,2,2,6,10,2,2,3,2,3,2,3,2,1,3,1,3,1,1,1,1,4,1,3,2,2,3,9,37
1,196,82,1,3,3,3,3,2,1,2,2,4,2,4,4,4,10,2,4,2,5,1,5,2,1,1,1,0,1,1,1,1,5,1,2,2,3,3,3,2,3,3,2,5,1,3,1,1,2,2,2,1,3,2,2,3,3,54
1,196,83,1,1,3,1,2,3,2,1,1,2,0,2,3,3,10,3,2,4,4,2,8,2,1,2,1,2,4,1,1,1,6,2,1,2,4,4,3,2,3,3,3,5,4,1,1,2,1,2,2,1,3,2,2,3,6,16
1,196,84,1,2,3,1,2,3,2,1,2,2,2,3,3,3,10,2,4,1,5,1,8,2,1,1,2,2,5,1,3,1,6,4,1,2,4,4,3,2,3,2,2,5,1,5,1,1,1,1,2,1,3,2,2,3,3,38
1,196,85,2,3,3,3,2,3,2,1,2,4,4,4,4,3,1,4,3,4,4,3,9,2,1,2,0,2,3,2,2,2,4,1,1,2,4,3,3,2,3,2,2,2,1,5,2,1,1,2,3,1,3,2,2,3,9,13
1,196,86,2,1,3,1,2,2,1,2,2,0,0,5,4,1,10,3,2,1,2,2,5,2,1,1,1,2,3,2,2,1,4,0,1,2,3,1,3,2,3,3,1,2,1,2,2,2,1,2,3,2,3,1,2,3,8,20
1,196,87,1,1,3,2,1,2,2,2,2,2,1,4,3,1,1,5,2,1,4,1,5,2,1,2,2,1,2,1,3,1,4,3,2,2,2,2,3,2,3,3,1,1,1,2,1,2,1,1,2,1,3,1,2,3,6,72
1,196,88,3,1,3,5,1,2,1,1,1,4,0,2,4,4,10,3,1,2,5,1,5,2,1,2,0,2,3,2,3,1,4,2,2,2,2,1,3,0,3,3,4,3,1,2,2,2,1,0,5,1,3,1,2,3,4,16
1,196,89,3,1,3,3,1,4,2,2,2,2,4,4,4,2,0,4,4,2,1,3,8,2,1,1,1,1,2,2,3,2,4,2,1,2,2,2,3,2,3,1,1,3,1,1,3,2,2,2,5,1,3,1,2,3,8,23
1,196,90,1,2,4,1,3,4,2,2,1,3,2,2,4,2,10,2,5,2,4,1,1,1,1,1,2,2,3,1,2,1,5,11,1,2,4,2,3,2,3,3,2,2,4,3,1,1,1,4,4,0,3,1,2,3,6,19
1,196,91,2,2,3,1,3,2,1,2,2,2,2,2,4,2,10,4,1,1,2,1,4,2,1,1,2,1,1,1,2,1,3,10,2,1,2,3,3,0,3,3,2,3,2,3,0,0,0,0,5,0,3,1,2,3,6,45
1,196,92,1,2,2,1,1,2,2,2,2,3,2,1,4,2,10,2,1,1,3,1,4,2,1,1,1,2,4,2,2,2,4,8,2,1,2,1,3,2,3,1,1,2,1,3,2,2,2,2,3,1,3,1,2,3,8,8
1,196,93,2,2,3,1,2,2,2,1,2,2,2,2,4,2,1,4,2,2,4,1,5,2,1,1,2,0,5,2,1,1,4,2,1,2,2,2,3,1,3,1,1,3,0,3,1,1,1,2,4,1,3,1,2,3,6,67
1,196,94,2,2,3,2,2,3,2,2,2,2,2,2,3,2,10,4,1,1,2,1,5,2,1,2,1,2,5,1,3,2,4,1,2,2,2,3,3,2,3,3,1,2,1,4,1,2,1,2,3,2,3,1,2,3,6,54
1,196,95,1,2,3,1,1,3,2,2,2,3,4,2,0,3,10,4,4,2,3,1,9,2,1,2,3,2,1,1,2,1,5,2,2,2,4,3,3,2,2,3,1,1,1,3,3,2,1,1,3,1,3,1,2,3,5,18
1,196,96,2,2,3,1,1,2,1,1,2,3,1,1,1,2,1,4,4,1,2,1,4,1,1,2,2,1,1,1,1,1,6,4,1,1,4,2,3,1,2,2,3,5,1,1,1,1,2,2,2,1,2,2,1,2,1,44
1,196,97,1,4,1,1,2,3,2,1,1,3,3,1,1,4,1,4,3,1,3,4,4,1,1,1,3,2,4,1,1,1,6,1,1,2,3,4,1,2,2,3,3,5,3,5,1,1,1,3,4,1,2,2,1,2,1,17
1,196,98,2,4,3,1,2,4,2,1,2,4,2,1,3,4,3,5,1,1,4,4,7,1,1,2,2,2,4,1,1,1,6,11,1,2,4,4,1,1,2,2,3,5,4,5,1,1,2,1,1,1,2,2,1,2,2,46
1,196,99,1,4,3,3,1,2,1,2,2,2,4,1,1,1,3,4,2,1,2,1,9,2,2,1,1,2,4,1,2,1,6,6,1,2,1,2,3,2,2,1,2,5,3,5,2,2,1,2,4,1,2,2,1,2,1,69
1,196,100,1,2,1,3,1,2,2,2,6,4,2,2,1,3,4,2,2,3,4,4,7,1,2,1,2,2,5,1,2,1,6,9,1,2,3,3,1,1,2,3,3,5,2,4,1,2,1,1,2,1,2,2,1,2,2,15
1,196,101,1,3,2,3,1,2,0,2,2,2,2,1,1,2,5,4,3,2,2,1,5,1,2,0,2,2,4,1,2,1,6,8,1,1,3,4,2,1,3,1,3,5,2,3,1,1,1,1,2,1,2,2,1,2,2,44
1,196,102,1,7,1,2,1,2,1,2,2,1,2,1,1,1,4,2,1,2,4,3,5,2,2,2,2,2,4,2,2,2,6,9,1,2,3,4,1,1,2,3,3,5,4,5,2,2,2,2,3,1,2,2,1,2,2,48
1,196,103,3,4,2,2,2,2,1,2,2,3,2,2,1,3,10,1,2,1,1,1,8,1,2,1,3,2,4,1,1,1,6,2,1,2,4,2,1,1,2,1,4,5,2,4,1,2,1,1,3,1,2,2,1,2,2,58
