COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71
1,135,964,1,1,10,9,4,6,3,1,4,1,2,4,3,2,5,1,3,8,2,6,2,4,1,1,2,3,2,2,2,3,1,2,2,1,10,1,10,3,3,1,5,1,1,4,1,3,8,3,2,1,1,,213,5096,4,1,3,1,1,1,2,2,3,3,2,51,10,201
1,135,965,1,1,5,4,4,7,3,2,20,4,3,1,1,2,1,1,2,8,1,6,2,6,11,3,4,1,1,3,1,1,3,2,2,6,10,10,10,3,3,1,5,1,2,3,1,5,6,3,2,1,1,,213,5096,5,1,3,1,1,1,0,5,0,4,3,60,0,205
1,135,966,1,1,5,4,4,6,3,1,29,1,2,1,3,4,1,1,2,8,3,8,11,3,11,1,5,1,2,3,2,1,1,2,2,7,1,10,10,2,3,3,5,1,1,3,1,5,7,3,1,1,3,,213,5096,6,1,3,1,1,3,5,2,3,3,2,51,10,208
1,135,967,1,1,6,5,4,5,1,2,28,2,4,1,2,2,3,1,2,8,3,2,3,7,11,2,6,1,2,2,2,1,2,3,2,4,1,1,10,3,2,3,2,1,2,2,2,1,9,3,2,1,3,,213,5096,7,1,3,1,1,1,2,1,1,3,2,50,40,510
1,135,968,1,1,4,3,4,5,2,1,28,2,2,0,2,2,2,1,1,8,2,2,11,11,11,11,2,2,2,3,1,2,5,2,3,7,2,11,1,1,2,3,5,2,2,4,1,5,8,3,2,1,2,,213,5096,8,1,1,1,1,1,1,1,1,3,3,60,0,505
1,135,969,1,1,4,3,4,7,2,2,28,3,3,0,1,3,3,1,2,8,4,8,4,4,2,2,3,1,2,1,1,2,2,2,3,7,1,1,11,1,2,2,2,1,2,4,1,5,7,2,2,2,1,,213,5096,9,1,2,1,2,2,5,2,1,3,2,50,10,405
1,135,970,1,1,3,3,4,6,2,1,20,6,3,3,3,2,2,2,2,8,3,6,4,7,1,2,5,2,2,3,1,1,1,2,3,4,1,1,10,1,2,0,2,2,2,4,1,5,8,3,3,1,1,,213,5097,0,1,1,1,1,1,1,1,1,3,2,50,50,508
1,135,971,1,1,6,5,4,6,1,1,29,11,4,3,2,2,2,1,2,8,2,8,3,7,1,2,4,1,2,3,2,1,2,2,3,5,1,1,11,1,2,2,1,1,3,3,1,1,7,3,1,1,3,,213,5097,1,1,3,1,1,1,3,2,3,3,2,10,50,504
1,135,972,1,1,7,7,4,6,3,2,21,11,6,2,2,1,3,1,2,8,3,2,1,4,1,1,8,1,2,3,2,2,1,3,2,4,11,1,11,1,1,3,5,1,1,3,2,5,8,1,2,1,3,,213,5097,2,1,1,1,1,1,5,2,3,3,2,50,0,402
1,135,973,1,1,6,5,4,9,3,3,25,11,5,1,1,2,4,1,2,8,3,6,4,4,1,1,3,1,2,2,1,3,2,2,3,4,1,10,1,3,3,1,5,2,2,3,1,5,6,1,1,1,2,,213,5097,3,1,3,1,3,1,2,2,3,1,2,51,10,306
