COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98
1,116,46,2,2,1,2,5,1,3,5,3,5,2,2,3,1,2,2,2,1,5,3,5,1,2,3,0,2,1,1,1,3,5,1,0,4,3,3,0,0,1,4,4,4,4,3,4,1,4,4,4,1,3,1,1,2,4,1,2,3,4,9,9,9,9,9,9,9,9,9,9,9,,211,6004,6,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,70
1,116,47,5,2,3,5,5,3,6,4,3,5,2,2,3,1,2,3,2,2,1,3,3,1,2,3,4,1,2,1,1,3,5,3,2,2,1,2,6,2,2,2,2,0,0,2,5,2,3,3,3,4,3,1,2,3,2,1,4,3,4,9,9,9,9,9,9,9,9,9,9,9,,211,6004,7,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,83
1,116,48,5,5,2,5,5,1,7,2,1,2,1,1,2,1,2,3,0,2,0,5,4,2,1,1,1,4,3,4,0,1,4,3,4,6,3,1,0,1,1,1,3,1,5,1,3,3,1,4,4,4,1,1,1,1,4,1,4,1,4,9,9,9,9,9,9,0,0,9,9,9,,211,6004,8,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,41
1,116,49,4,5,1,4,4,3,9,2,2,3,2,1,2,1,2,2,1,1,3,3,3,2,1,1,3,1,1,2,3,2,4,3,2,4,2,1,6,2,2,2,3,3,2,2,3,4,2,2,2,3,1,1,2,3,3,1,4,2,4,9,9,9,9,9,9,0,9,9,9,9,,211,6004,9,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,20
1,116,50,3,4,1,5,4,4,2,3,2,3,1,1,2,2,2,3,2,2,1,3,3,2,1,1,3,1,1,4,3,1,4,3,2,2,2,1,6,2,2,4,3,4,3,2,4,4,3,3,3,3,1,2,2,2,3,2,3,2,2,3,2,3,5,3,5,2,2,3,1,1,,211,6005,0,1,2,3,1,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,21,73
1,116,51,3,4,1,2,4,1,2,2,1,3,1,1,1,1,1,2,1,1,2,3,2,2,1,1,1,1,1,2,3,3,4,2,2,1,2,1,6,1,1,1,1,3,2,3,2,1,3,1,3,4,3,3,3,1,2,3,3,1,3,1,4,9,6,9,9,0,4,0,9,0,,211,6005,1,5,4,9,9,9,3,9,2,2,1,2,2,2,2,2,2,2,2,2,21,93
1,116,52,4,4,1,4,5,3,8,1,2,2,1,1,1,1,1,2,2,1,2,2,3,2,1,1,1,1,3,2,3,2,4,3,3,2,1,2,6,2,2,2,2,2,2,1,2,3,2,2,2,4,2,1,2,3,2,2,2,1,4,3,9,9,9,9,9,9,9,9,9,9,,211,6005,2,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,80
1,116,53,4,4,2,3,5,3,5,2,2,2,2,2,2,1,1,0,1,1,2,5,0,2,1,1,1,1,3,2,3,2,4,3,4,6,2,2,6,2,4,2,2,4,3,2,3,4,2,4,3,3,3,1,2,2,1,3,1,2,0,9,9,9,9,9,9,9,9,9,9,9,,211,6005,3,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,81
1,116,54,4,4,1,4,5,3,2,2,2,2,2,2,1,1,1,2,1,1,2,1,5,2,1,1,1,0,3,4,3,3,2,2,1,4,1,1,5,2,1,2,3,3,4,3,3,4,2,3,1,3,2,1,1,3,4,1,4,3,4,9,9,9,9,9,9,9,9,9,9,9,,211,6005,4,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,83
1,116,55,5,4,1,4,5,3,2,2,2,3,2,1,1,1,1,2,3,1,2,4,5,2,1,1,3,4,3,4,3,3,4,3,4,0,2,1,0,2,2,2,2,3,0,1,3,0,1,1,1,3,3,1,3,3,1,1,4,1,3,2,4,2,6,4,4,2,3,2,2,3,,211,6005,5,1,1,5,4,3,1,3,2,2,2,2,2,2,2,2,2,1,2,2,22,80
1,116,56,4,3,3,4,4,4,2,2,2,2,1,1,1,1,1,2,2,1,5,3,2,1,1,1,3,1,1,2,3,3,3,2,2,5,1,1,6,1,1,6,2,2,1,1,2,3,2,2,2,3,1,2,1,2,4,1,4,1,3,2,4,3,1,2,2,1,2,1,4,2,,211,6005,6,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,21,23
1,116,57,4,3,2,4,4,2,2,2,3,4,1,1,2,1,2,3,3,1,5,3,2,2,1,1,1,1,1,3,3,2,4,3,2,1,2,1,6,1,2,2,3,3,3,2,4,6,3,4,4,1,1,2,2,3,3,2,3,1,3,3,3,2,2,2,5,1,3,2,2,3,,211,6005,7,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,21,45
1,116,58,5,3,1,5,4,3,2,5,2,3,1,2,2,1,1,3,2,1,3,4,6,2,1,1,1,4,1,3,3,3,3,3,4,6,2,1,6,1,4,2,3,3,1,3,3,4,2,3,2,2,3,3,1,2,3,3,4,1,4,9,9,9,9,9,9,9,9,9,9,9,,211,6005,8,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,80
1,116,59,3,3,1,4,4,4,2,3,3,2,2,2,3,2,4,2,1,1,0,3,2,2,1,1,1,1,1,2,3,3,3,3,2,0,2,1,6,2,4,2,2,4,2,3,4,3,3,4,3,3,3,1,2,2,3,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,,211,6005,9,9,9,9,9,9,3,9,2,2,2,2,2,2,2,2,2,1,2,2,22,12
