COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75
1,218,62,2,4,43,2,2,2,1,6,10,2,3,2,2,3,5,2,1,3,5,6,2,2,1,2,1,3,2,3,4,2,2,2,2,0,2,5,0,2,2,70,1,2,1,3,6,5,7,2,4,5,2,2,7,1,1,9,9,99,9,9,6,3,,22,180,6,22,33,0,9,15,1
1,218,63,2,4,43,2,2,2,1,6,10,1,4,2,2,3,3,0,1,2,3,4,1,0,1,2,2,2,3,3,3,2,2,2,2,0,2,4,0,3,3,69,1,1,1,3,6,2,1,4,1,2,1,2,5,1,1,9,9,99,9,9,6,3,,22,180,6,32,22,0,7,16,1
1,218,64,2,4,49,2,3,3,2,6,10,2,4,3,2,1,3,2,2,2,3,3,2,1,1,2,2,3,3,2,3,1,3,2,2,2,2,1,5,1,2,81,1,1,1,0,0,2,7,7,3,2,2,2,7,8,1,9,9,99,9,9,6,3,,22,180,6,42,24,1,0,16,1
1,218,65,2,4,49,2,1,1,1,0,10,1,2,2,3,3,5,3,1,3,3,5,2,2,1,2,2,3,2,3,3,2,2,3,5,1,2,1,3,2,2,68,1,1,1,3,6,2,7,5,2,4,2,1,3,2,8,9,9,99,9,9,6,3,,22,180,6,52,17,0,8,11,5
1,218,66,2,4,54,3,4,4,2,6,10,1,4,2,1,2,3,2,1,3,3,5,2,1,1,2,2,2,2,2,3,1,2,2,5,1,2,4,5,2,2,85,1,2,1,3,6,2,7,7,2,2,1,1,7,8,7,6,2,8,4,1,6,3,,22,180,6,62,18,0,7,14,7
1,218,67,2,4,56,2,11,99,1,6,10,1,4,1,3,4,5,2,1,3,3,10,1,1,1,3,2,3,2,3,3,2,2,2,1,2,2,4,2,1,3,56,1,1,1,3,6,5,7,7,1,2,1,2,7,3,1,9,9,99,9,9,6,3,,22,180,6,72,6,0,9,15,1
1,218,68,2,4,58,3,3,3,1,6,10,1,3,2,4,3,4,2,1,3,2,3,1,1,1,2,1,3,3,3,2,2,2,1,2,1,2,3,1,3,3,75,1,2,1,3,6,2,7,7,3,5,1,1,5,8,8,9,9,99,9,9,6,3,,22,180,6,82,7,0,7,14,7
1,218,69,2,4,37,2,2,2,1,6,10,1,4,1,1,2,5,2,1,3,3,5,2,1,1,2,2,3,2,3,3,1,2,2,1,1,2,5,1,1,2,64,1,1,1,3,6,2,2,5,2,2,2,2,6,1,1,9,9,99,9,9,8,3,,22,180,6,92,21,0,8,16,1
1,218,70,2,4,37,2,2,2,1,6,10,4,2,3,2,4,6,0,1,3,4,8,2,3,1,2,2,2,2,2,3,2,4,4,4,2,4,2,4,2,1,64,1,1,1,3,6,3,1,5,2,5,2,3,2,2,1,9,9,99,9,9,8,2,,22,180,7,2,22,0,7,16,1
1,218,71,2,4,39,3,11,99,1,6,10,1,1,2,3,4,5,1,2,3,3,4,2,3,1,2,2,3,2,3,3,1,4,4,1,2,1,2,2,2,1,53,1,1,1,3,6,1,2,8,1,4,2,3,2,8,7,9,9,99,9,9,8,3,,22,180,7,12,18,1,0,14,8
1,218,72,2,4,40,2,2,2,2,1,10,1,2,3,1,3,4,3,3,3,4,5,2,3,1,2,2,3,3,4,3,1,1,2,1,1,1,4,2,1,2,86,1,1,1,3,6,3,1,2,4,1,2,3,6,2,1,6,2,7,2,2,8,3,,22,180,7,22,39,0,8,15,1
1,218,73,2,3,38,2,1,1,1,6,10,2,3,1,3,4,4,1,1,3,2,5,1,1,1,2,2,3,2,3,3,2,4,1,1,1,1,5,1,2,2,57,1,2,1,3,6,2,5,7,2,2,1,1,5,2,1,9,9,99,9,9,7,2,,22,180,7,32,18,0,7,11,5
1,218,74,2,4,38,2,1,2,1,6,10,1,3,1,3,3,4,2,1,3,3,4,1,1,1,2,2,3,3,3,3,2,2,2,2,1,2,4,2,2,2,54,1,1,1,3,6,5,3,5,2,2,2,1,2,2,1,9,9,99,9,9,7,3,,22,180,7,42,16,0,7,11,5
1,218,75,2,4,42,3,1,1,2,6,10,1,2,3,1,3,4,2,2,3,4,5,2,1,1,2,2,3,2,2,3,1,2,3,2,1,2,1,2,1,1,59,1,1,1,3,6,3,3,8,3,3,2,2,1,8,0,9,9,99,9,9,7,3,,22,180,7,52,13,0,7,12,5
1,218,76,2,4,50,2,2,2,2,6,10,1,4,1,2,3,3,1,1,3,2,4,1,1,1,2,2,3,2,3,3,1,3,2,1,1,2,5,3,2,1,77,1,1,1,3,6,2,1,5,3,5,1,3,5,2,1,9,9,99,9,9,7,5,,22,180,7,62,21,0,7,16,1
1,218,77,2,4,56,2,1,1,2,6,10,1,4,2,1,3,3,2,1,3,3,5,2,2,1,2,2,3,3,3,3,1,3,3,2,2,2,1,2,3,1,90,1,1,2,4,4,2,7,7,1,1,1,1,9,8,0,6,1,7,1,4,7,5,,22,180,7,72,11,1,0,13,7
