COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85
1,79,1089,1,5,6,3,5,5,2,2,1,4,2,4,2,1,2,2,2,2,2,2,2,4,2,3,4,5,2,3,2,2,11,2,2,10,1,1,1,2,3,1,5,3,2,2,3,1,1,1,6,3,3,3,1,1,1,1,1,2,1,1,3,3,1,4,,207,9108,9,4,4,3,4,4,1,4,2,4,5,3,2,2,100157
1,79,1090,2,5,5,2,2,5,1,2,1,4,3,1,1,1,2,1,2,2,2,3,3,2,1,1,5,2,3,5,5,2,3,1,3,2,2,3,1,1,2,1,2,2,2,4,7,4,1,4,4,1,4,4,2,1,1,1,2,3,2,2,2,2,4,1,,207,9109,0,2,4,2,2,2,1,4,5,5,5,3,2,2,400741
1,79,1091,2,5,5,7,3,4,1,2,1,3,1,1,1,2,2,2,1,1,2,3,2,1,1,2,3,2,3,3,2,4,3,1,3,1,3,3,3,2,2,1,2,2,2,1,1,1,1,3,1,2,1,2,3,2,1,2,1,2,2,2,2,3,2,2,,207,9109,1,2,2,1,1,2,3,4,1,2,1,3,2,2,300312
1,79,1092,4,4,5,5,2,1,5,3,1,5,2,4,2,1,2,3,3,3,2,1,2,2,2,2,3,2,4,4,4,1,1,0,2,0,1,3,3,3,3,1,2,2,2,8,1,8,2,4,4,3,2,3,2,2,3,2,2,3,2,2,3,2,1,3,,207,9109,2,3,3,5,5,4,3,4,5,5,5,1,2,2,101239
1,79,1093,4,4,3,6,1,1,5,3,1,4,3,1,1,1,1,2,1,2,2,1,2,3,2,1,3,1,4,2,3,2,2,8,3,9,3,2,1,2,2,1,2,2,2,4,4,4,1,1,2,3,1,4,2,2,2,2,2,2,2,2,1,3,1,1,,207,9109,3,2,1,1,1,1,3,4,4,5,1,1,2,1,100150
1,79,1094,3,4,5,9,4,4,2,2,1,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,2,3,3,3,2,2,1,2,1,1,1,2,2,2,2,1,1,4,1,2,3,2,1,1,1,1,1,1,1,1,1,2,2,,207,9109,4,2,2,3,3,3,3,4,1,2,3,1,2,2,101251
1,79,1095,1,4,5,3,5,1,5,3,1,4,3,2,1,1,2,1,1,1,2,1,1,2,1,2,3,1,3,4,1,2,1,1,2,4,3,2,1,2,2,1,2,2,2,4,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,4,,207,9109,5,3,3,1,1,1,3,4,1,3,2,1,2,2,200060
1,79,1096,1,4,2,0,3,1,5,3,1,3,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,3,2,1,2,1,1,2,3,2,3,3,1,1,1,2,1,1,10,1,10,4,3,4,2,2,3,2,1,1,1,1,1,3,2,2,1,2,1,,207,9109,6,2,1,1,2,2,3,4,2,2,1,1,2,3,400174
1,79,1097,1,4,4,3,3,4,2,2,1,4,3,2,1,3,3,3,2,2,2,3,2,3,2,2,2,2,4,4,4,4,7,3,3,3,3,1,3,2,2,1,2,2,2,3,1,3,1,3,4,3,4,4,3,2,1,1,1,2,2,2,2,2,4,2,,207,9109,7,3,2,1,1,2,3,4,2,3,2,1,2,1,400717
1,79,1098,4,4,5,7,1,4,1,1,1,4,2,2,1,2,2,1,2,2,2,3,2,2,1,2,2,2,4,4,3,4,3,1,2,2,3,2,1,2,3,1,2,2,3,3,6,3,1,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,,207,9109,8,3,2,3,2,3,3,4,2,3,1,1,2,2,400739
