CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.6G.,Q.6H.,Q.6I.,Q.6J.,Q.6K.,Q.6L.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,V.9A.,Q.10.,Q.11.,Q.12.,V.13.,V.14.
1,189,169,3,4,3,3,2,1,2,2,1,3,2,3,1,3,2,2,3,1,1,2,2,3,3,5,6,2,3,1
1,189,170,3,4,1,2,2,1,4,2,1,1,1,3,1,4,4,4,4,1,1,2,2,2,1,5,6,2,0,1
1,189,171,3,4,5,1,1,1,2,2,1,3,3,2,1,1,2,4,4,3,3,2,1,3,3,5,6,2,3,1
1,189,172,3,4,3,2,2,3,2,2,1,2,2,2,1,2,2,2,1,1,4,2,1,3,4,5,2,2,0,1
1,189,173,3,4,4,1,1,4,2,3,3,3,3,3,1,3,4,4,1,1,2,2,2,2,2,5,4,2,0,1
1,189,174,3,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,5,2,2,3,4,5,5,2,0,1
1,189,175,3,4,4,1,1,4,4,1,1,1,1,1,1,2,2,4,4,0,1,2,2,3,4,5,5,2,0,1
1,189,176,4,4,1,3,2,1,2,3,1,3,3,1,1,4,4,4,3,1,2,1,2,1,3,5,6,2,0,2
1,189,177,4,4,1,3,2,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,5,6,2,3,2
1,189,178,4,4,3,3,2,1,2,2,1,2,2,2,1,1,2,2,1,1,3,2,2,2,4,5,7,2,0,2
1,189,179,4,4,4,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,3,2,2,1,3,5,2,2,0,2
1,189,180,4,4,4,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,3,2,2,1,3,5,5,2,0,2
1,189,181,0,2,3,4,2,1,2,2,1,1,2,1,1,1,2,2,1,3,1,1,2,1,4,3,6,1,3,7
1,189,182,0,2,2,3,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,3,1,2,2,3,5,1,0,8
1,189,183,4,3,1,3,3,1,2,2,1,0,0,1,1,1,2,2,3,1,4,2,1,2,4,0,6,1,3,3
1,189,184,4,3,1,3,3,1,2,1,1,3,2,2,1,1,2,2,2,1,1,2,2,3,3,4,6,1,3,3
1,189,185,4,3,1,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,0,0,1,3,8,6,1,0,4
1,189,186,4,3,3,3,3,0,0,1,1,0,0,3,1,1,0,0,1,1,3,2,2,1,3,3,6,1,3,4
1,189,187,4,3,1,2,2,1,3,2,1,3,3,1,1,1,3,4,1,1,2,2,0,2,2,3,6,1,0,4
1,189,188,4,3,3,3,2,1,4,4,1,1,2,1,1,1,4,4,1,1,2,2,2,1,3,3,6,1,0,4
1,189,189,4,3,1,3,0,4,4,2,1,3,3,3,1,1,3,2,1,1,2,2,2,2,4,3,6,1,3,4
1,189,190,4,3,1,3,3,1,2,3,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,4,6,1,0,4
1,189,191,4,3,1,3,2,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,2,1,3,8,6,1,0,6
1,189,192,4,3,2,3,0,1,2,2,1,2,2,2,2,2,2,2,1,3,2,3,0,2,4,8,6,1,0,7
1,189,193,4,3,1,3,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,6,1,3,7
1,189,194,4,3,2,3,3,4,2,3,1,3,2,3,1,1,2,2,1,1,5,2,1,3,4,3,6,1,3,7
1,189,195,4,3,1,3,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,4,6,1,0,7
1,189,196,4,3,2,3,3,1,2,2,1,3,0,2,1,1,2,2,1,1,1,2,2,2,2,4,6,1,0,7
1,189,197,4,3,2,4,2,1,2,2,1,4,4,3,1,1,3,3,1,1,1,3,2,1,4,3,6,1,0,7
1,189,198,4,3,1,3,3,1,3,2,1,3,2,1,1,1,2,1,1,1,1,1,2,1,3,3,6,1,0,8
1,189,199,4,3,1,3,2,1,3,1,1,1,1,1,1,1,2,4,4,1,1,1,2,2,2,8,6,2,0,8
1,189,200,4,3,1,3,3,1,2,3,1,1,3,1,1,1,3,3,3,1,2,2,2,2,4,8,6,2,0,11
1,189,201,4,3,3,2,3,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,3,7,1,3,3
1,189,202,4,3,3,3,3,1,2,2,1,3,2,2,1,1,2,2,1,1,1,1,2,2,1,7,7,1,3,3
1,189,203,4,3,1,3,2,1,3,3,1,3,4,3,1,1,3,0,0,1,1,2,2,1,4,8,7,1,3,4
1,189,204,4,3,2,0,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,0,0,2,4,1,7,1,3,5
1,189,205,4,3,1,3,3,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,4,3,7,1,0,5
1,189,206,4,3,1,3,2,1,2,3,1,3,3,1,1,1,1,2,1,1,1,2,2,2,3,8,7,1,3,7
1,189,207,4,3,2,3,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,3,8,7,1,3,8
1,189,208,4,3,1,3,3,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,8,7,2,1,11
1,189,209,4,3,3,3,0,1,2,2,1,1,0,3,1,1,3,0,0,1,2,0,1,2,2,8,7,2,0,11
